Symbol,Action,# Shares,£ Price Per Share,Price Per Share,£ Gross Value,£ Commissions,Commissions,£ Net Value,Date ,Account Type
VWRP,Buy,15.00,110.60,,1659.05,-3.00,,"1,662.05",2024-11-21,IBKR Giuseppe
PACW,Buy,186.00,10.18,,1893.95,-3.00,,"1,896.95",2025-10-24,IBKR Giuseppe
PACW,Buy,85.00,10.31,,876.66,-3.00,,879.66,2025-10-28,IBKR Giuseppe
VWRP,Buy,3.00,128.22,,384.66,-3.00,,387.66,2025-10-31,IBKR Giuseppe
PACW,Buy,250.00,10.45,,2613.50,-3.00,,"2,616.50",2025-10-31,IBKR Giuseppe
PACW,Buy,500.00,10.04,,5017.70,-3.00,,"5,020.70",2025-11-21,IBKR Giuseppe
VWRP,Buy,17.00,123.30,,2096.10,-3.00,,"2,099.10",2025-11-21,IBKR Giuseppe
PACW,Buy,92.00,10.28,,945.39,-3.00,,948.39,2025-12-22,IBKR Giuseppe
PACW,Buy,91.00,10.37,,943.78,-3.00,,946.78,2026-01-26,IBKR Giuseppe
MDT,Buy,15.00,,$    103.17,"1,132.30",-0.73,-1.00,"1,133.03",2026-02-02,IBKR Giuseppe
NOVO.B,Buy,36.00,,DKK    366.25,"1,523.00",-5.66,-49.00,"1,528.66",2026-02-02,IBKR Giuseppe
