Symbol,Action,# Shares,£ Price Per Share,Price Per Share,£ Gross Value,£ Commissions,Commissions,£ Net Value,Date ,Account Type
VAEIAGA,Buy,0.27,130.09,,35.12,,,35.12,2021-08-16,Vanguard Giuseppe
VHYL,Buy,1.00,46.10,,46.10,,,46.10,2021-08-17,Vanguard Giuseppe
VEUR,Buy,286.00,31.45,,8994.73,,,"8,994.73",2021-08-17,Vanguard Giuseppe
VHYL,Buy,108.00,46.15,,4983.81,,,"4,983.81",2021-08-17,Vanguard Giuseppe
VUSA,Buy,276.00,61.40,,16945.49,,,"16,945.49",2021-08-17,Vanguard Giuseppe
VFEM,Buy,28.00,50.11,,1403.02,,,"1,403.02",2021-08-17,Vanguard Giuseppe
VAEIAGA,Buy,15.09,132.58,,2000.63,,,"2,000.63",2021-09-03,Vanguard Giuseppe
VGSGSAG,Buy,2.51,346.49,,869.68,,,869.68,2021-10-04,Vanguard Giuseppe
VGSGSAG,Buy,0.01,348.33,,3.48,,,3.48,2021-10-05,Vanguard Giuseppe
VUSA,Buy,16.00,60.26,,964.14,,,964.14,2021-10-05,Vanguard Giuseppe
VEUR,Buy,33.00,30.07,,992.29,,,992.29,2021-10-05,Vanguard Giuseppe
VHYL,Buy,22.00,45.13,,992.94,,,992.94,2021-10-05,Vanguard Giuseppe
VHYL,Buy,1.00,45.27,,45.27,,,45.27,2021-10-06,Vanguard Giuseppe
VAEIAGA,Buy,1.18,131.24,,154.86,,,154.86,2021-10-18,Vanguard Giuseppe
VAEIAGA,Buy,0.08,132.05,,10.56,,,10.56,2021-10-21,Vanguard Giuseppe
VUSA,Buy,8.00,62.23,,497.84,,,497.84,2021-10-22,Vanguard Giuseppe
VEUR,Buy,16.00,30.75,,491.99,,,491.99,2021-10-22,Vanguard Giuseppe
VAEIAGA,Buy,0.15,133.08,,19.96,,,19.96,2021-10-27,Vanguard Giuseppe
VGSGSAG,Buy,2.75,363.22,,998.86,,,998.86,2021-10-28,Vanguard Giuseppe
VGSGSAG,Buy,0.21,365.39,,76.73,,,76.73,2021-10-29,Vanguard Giuseppe
VUSA,Buy,15.00,63.14,,947.09,,,947.09,2021-10-29,Vanguard Giuseppe
VEUR,Buy,32.00,31.05,,993.52,,,993.52,2021-10-29,Vanguard Giuseppe
VHYL,Buy,32.00,46.28,,1481.06,,,"1,481.06",2021-10-29,Vanguard Giuseppe
VGSGSAG,Buy,0.12,369.61,,44.35,,,44.35,2022-01-05,Vanguard Giuseppe
VHYL,Buy,3.00,48.03,,144.10,,,144.10,2022-01-06,Vanguard Giuseppe
VGSGSAG,Buy,0.43,347.12,,149.26,,,149.26,2022-04-14,Vanguard Giuseppe
VUSA,Buy,6.00,60.60,,363.60,,,363.60,2022-07-08,Vanguard Giuseppe
VGSGSAG,Buy,0.17,345.61,,58.75,,,58.75,2022-07-29,Vanguard Giuseppe
VGSGSAG,Buy,0.03,354.99,,10.65,,,10.65,2022-08-22,Vanguard Giuseppe
VEUR,Buy,17.00,28.74,,488.61,,,488.61,2022-08-22,Vanguard Giuseppe
VGSGSAG,Buy,0.12,344.90,,41.39,,,41.39,2022-08-31,Vanguard Giuseppe
VUSA,Buy,23.00,65.62,,1509.26,,,"1,509.26",2022-09-01,Vanguard Giuseppe
VEUR,Buy,35.00,28.19,,986.49,,,986.49,2022-09-01,Vanguard Giuseppe
VHYL,Buy,20.00,48.99,,979.78,,,979.78,2022-09-01,Vanguard Giuseppe
VAEIAGA,Buy,0.48,126.13,,60.54,,,60.54,2022-09-02,Vanguard Giuseppe
VEUR,Buy,14.00,27.38,,383.38,,,383.38,2022-09-05,Vanguard Giuseppe
VHYL,Buy,8.00,48.05,,384.43,,,384.43,2022-09-05,Vanguard Giuseppe
VUSA,Buy,12.00,64.36,,772.29,,,772.29,2022-09-05,Vanguard Giuseppe
VGSGSAG,Buy,0.21,331.67,,69.65,,,69.65,2022-09-29,Vanguard Giuseppe
VUSA,Buy,30.00,64.69,,1940.82,,,"1,940.82",2022-09-29,Vanguard Giuseppe
VHYL,Buy,24.00,47.73,,1145.45,,,"1,145.45",2022-09-29,Vanguard Giuseppe
VEUR,Buy,37.00,26.85,,993.56,,,993.56,2022-09-29,Vanguard Giuseppe
VUSA,Buy,4.00,61.29,,245.15,,,245.15,2022-10-17,Vanguard Giuseppe
VGSGSAG,Buy,0.74,334.13,,247.26,,,247.26,2022-10-28,Vanguard Giuseppe
VGSGSAG,Buy,0.42,334.73,,140.59,,,140.59,2022-10-31,Vanguard Giuseppe
VUSA,Buy,15.00,62.81,,942.13,,,942.13,2022-10-31,Vanguard Giuseppe
VHYL,Buy,63.00,47.24,,2975.96,,,"2,975.96",2022-10-31,Vanguard Giuseppe
VEUR,Buy,109.00,27.43,,2990.00,,,"2,990.00",2022-10-31,Vanguard Giuseppe
VUSA,Buy,47.00,62.81,,2951.99,,,"2,951.99",2022-10-31,Vanguard Giuseppe
VGSGSAG,Buy,0.13,337.53,,43.88,,,43.88,2023-01-17,Vanguard Giuseppe
VUSA,Buy,2.00,61.74,,123.47,,,123.47,2023-01-17,Vanguard Giuseppe
VEUR,Buy,3.00,31.45,,94.34,,,94.34,2023-02-15,Vanguard Giuseppe
VGSGSAG,Buy,2.21,344.99,,762.43,,,762.43,2023-05-12,Vanguard Giuseppe
VGSGSAG,Buy,0.27,345.41,,93.26,,,93.26,2023-05-15,Vanguard Giuseppe
VEUR,Buy,94.00,31.58,,2968.84,,,"2,968.84",2023-05-15,Vanguard Giuseppe
